Property.Address.StreetAddress,Property.Address.UnitNumber,Property.Address.City,Property.Address.Province,PostalCode,Property.Address.Country,Property.Address.Latitude,Property.Address.Longitude,MlsNumber,Property.PriceUnformattedValue,DetailsURL,Building.SizeInterior,Building.Bedrooms,Building.BathroomTotal,Building.StoriesTotal,Building.UnitTotal,Land.SizeTotal,Land.SizeFrontage,Property.PhotoLink,Property.Type,Building.Type,Property.OwnershipType,Property.ParkingType,Property.ParkingSpaceTotal,PublicRemarks
252 Toll Gate Boulevard,,Waterloo,Ontario,N2L4M2,Canada,43.48708091,-80.55724523,40112595,599900,https://realtor.ca/real-estate/23191847/252-toll-gate-boulevard-waterloo,,3 + 1,2,1,0,under 1/2 acre,51 ft,https://cdn.realtor.ca/listings/TS637564212610130000/reb16/highres/5/40112595_1.jpg,Single Family,House,Freehold,,,"LEGAL DUPLEX! Turnkey! Great investment opportunity to live in and rent out or take full advantage of this booming rental market!  Upper unit offers 3 bedrooms, 1 bath. Gleaming  hardwood, laminate & ceramics throughout. Eat-in Kitchen updated 2014 offering maple cabinetry, attractive ceramic backsplash, double stainless steel sinks, fridge, stove & dishwasher. Living room offers attractive space to entertain family enjoyed by large picturesque window overlooking mature streetscape. 3 decent sized bedrooms & 4pc bathroom updated 2014. Lower unit offers 1 bedroom, large eat-in kitchen with oak cabinetry, double stainless steel sinks, fridge & stove. Ceramic & laminate flooring though out. Gorgeous gas stove(2018) in unit offers wonderful warmth to cozy living space.  Unit offers 3pc bathroom updated 2014.  Laundry room is located in lower level w/ washer & gas dryer for both units to enjoy. Each unit has separate entrance. Beautiful, private fenced backyard backing onto walking trails & nature. Patio area, fire pit & gardens to enjoy as well and there are only Neighbors on one side of home. Some newer windows (2018) Roof(2013) Parking for 4 cars. Close to  schools, walking trails, both universities, shopping, bus routes! (63304442)"
155 Caroline St,1706,Waterloo,Ontario,N2L0J8,Canada,43.4590513,-80.5193017,X5230800,399900,https://realtor.ca/real-estate/23191426/1706-155-caroline-st-waterloo,,1,1,,,,,https://cdn.realtor.ca/listings/TS637564172640400000/reb82/highres/0/x5230800_1.jpg,Single Family,Apartment,Condominium/Strata,Underground,1,"Luxury Condo Living In The Highly Desirable Caroline Street Private Residences, Enjoy The Bright Modern 1 Bedroom + Den, 783 Sqft Made Up Of 721 Sq Ft + 62 Sq Ft Balcony. Located On The 17th Floor With Great Views, Comes With 1 Underground Parking And A Locker. Stunning Open Concept With 9 Ft Ceilings, Engineered Hardwood, Quartz Counter Top, And Stainless Steel Appliances. Steps Away From The New Lrt Line, Vincenzo's, Bauer Kitchen, Cafes, And Entertainment.**** EXTRAS **** Dishwasher, Dryer, Washer, Stove, Microwave, And Refrigerator (28422226)"
400 Wilson Avenue,67,Kitchener,Ontario,N2C2S1,Canada,43.42361471,-80.44516498,40112414,579900,https://realtor.ca/real-estate/23191068/400-wilson-avenue-unit-67-kitchener,1120.0000,3 + 0,2,2,0,,,https://cdn.realtor.ca/listings/TS637564148544470000/reb16/highres/4/40112414_1.jpg,Single Family,Row / Townhouse,Condominium,Attached Garage,2,"Welcome to 400 Wilson , desirable Village at Fairway. Perfect for  first time home buyers and investors. Unit is freshly painted and available for quick possession. This fabulous 3 Bedroom, 2 Bathroom townhouse is finished from top to bottom and have a very low condo fee.  . As you enter through the front door of the home you are greeted to a bright and airy living space. The Kitchen features lots of counter and cupboard space, as well as an eat-at kitchen space. Overlooking the Kitchen is a Living Room and Dinette area with sliding glass doors to your Backyard, perfect for entertaining. The main level of the home also features a 2-pce bathroom and direct access to the garage. On the upper level of the home  is a very spacious master bedroom with his and her closet and lots of windows to bring in the natural light. Two additional bedrooms and a 4-pce bathroom are on this level  as well. Fully finished basement features a large rec. room,  rough in for additional bathroom,  as well as laundry  and cold room. The location of this Home is great, with it being close to NEW soon to be finished Grand Market District, Fairview Park Mall, many shops and restaurants, Schools, and has easy access to the Hwy., the LRT (Light Rail Transit), and bus routes for those commuting. Whether you are a First Time Home Buyer, Investor, or anyone seeking a great Home in a great location. Don't miss it . (63303482)"
535 Windflower Crescent,18,Kitchener,Ontario,N2E4L7,Canada,43.4140744,-80.52549218,40111941,450000,https://realtor.ca/real-estate/23191155/535-windflower-crescent-unit-18-kitchener,,2 + 0,2,2,0,under 1/2 acre,,https://cdn.realtor.ca/listings/TS637564166504900000/reb16/highres/1/40111941_1.jpg,Single Family,Row / Townhouse,Condominium,Visitor Parking,,"WELCOME HOME to 18-535 Windflower Crescent, Kitchener! Located in the Laurentian Hills area of Kitchener, it is close to many amenities including shopping, restaurants, schools, parks & transportation. Walking distance to the Sunrise Shopping Centre, which has some of everyones favourite shops & restaurants. This complex has low condo fees! The beautiful walk up to Unit 18 is lined with professionally landscaped flower gardens. The exterior has been well maintained, & the bright red front door gives you a pop of colour year-round. Upon entering you are greeted by new grey laminate flooring & a large front entry closet. After taking our shoes off, we head into the heart of the home - the kitchen. This kitchen features lots of cabinets & counter space & a very large raised breakfast bar. A great space to cook many meals to share with family & friends. The kitchen is open to the dinette which features a beautiful window for natural light.  This is a very practical space for families. It is also an entertainers dream as you are never far from the party when bringing out the food. The spacious living room which features a walkout to the deck with beautiful views of the Greenspace. It is the perfect extra outdoor space for enjoying your morning coffee. Upstairs there are two spacious bedrooms. The large master bedroom has lots of closet space, & room for a dressing table. The four piece bathroom is nearby, making your morning routine quick & easy. Use the second bedroom as a guest room or an office for working from home. The fully finished basement features a walkout from the rec room to the patio. Enjoy summer evenings in this back space. There is even a gas barbecue connection for the grill master of your family. This 2 bedroom, 2 bathroom townhome condo wont last long! Schedule your private in person viewing today. (63303096)"
45 Harcourt Crescent,,Kitchener,Ontario,N2P1M1,Canada,43.3970927,-80.44893888,40108271,599900,https://realtor.ca/real-estate/23191130/45-harcourt-crescent-kitchener,,3 + 0,2,1,0,under 1/2 acre,45 ft,https://cdn.realtor.ca/listings/TS637564161735900000/reb16/highres/1/40108271_1.jpg,Single Family,House,Freehold,,,"Cuteness overload in this perfect starter or empty nest Bungalow with stone edging in the front yard, parking for 5 cars, on a corner lot. Features some hardwood and ceramic floors, main bathroom updated (2020), new doors (2016), basement reno (2016), stainless steel appliances, and new fireplace. Sliders from master bedroom or double door walkout from the basement to the fully fenced backyard, with covered patio and large deck. Plenty of room back there for the kids and your garden. Great potential with separate side entrance for in-law suite. Quiet crescent close to Homer Watson with easy access to the expressway or the 401, shopping and schools nearby. (63299401)"
1684 Fischer Hallman Rd,B,Kitchener,Ontario,N2R1P7,Canada,43.3838565,-80.4889207,X5230838,449000,https://realtor.ca/real-estate/23191429/b-1684-fischer-hallman-rd-kitchener,,2,2,,,,,https://cdn.realtor.ca/listings/TS637564172647300000/reb82/highres/8/x5230838_1.jpg,Single Family,Row / Townhouse,Condominium/Strata,,,"Beautiful 2 Bed 1.5 Bath Stacked Townhouse In Prime Kitchener Location. Open Concept Main Floor, Stunning Kitchen With Quartz Counters, High-End Kitchen Appliances.The Bright Dining Area Offers An Attractive Feature Wall And Overlooks The Living Room With Walkout To A Large Balcony. Master Bedroom Has A Walkout Balcony.2nd Floor Laundry. Very Clean Well Kept Unit.**** EXTRAS **** The 4 Pc Bath Has Quartz Counters, 12"""" By 24"""" Ceramic Flooring, Upgraded Hardware And Toilet. The Convenient Upper Floor Laundry Has A Front Load Washer And Dryer. Upgraded Lighting Throughout, Central Air, And Water Softener. (28422267)"
2 Featherstone Street,,Kitchener,Ontario,N2R1Z2,Canada,43.38889921,-80.47565472,40112046,599900,https://realtor.ca/real-estate/23190704/2-featherstone-street-kitchener,1647.0000,3 + 1,3,2,0,under 1/2 acre,36 ft,https://cdn.realtor.ca/listings/TS637564112446200000/reb16/highres/6/40112046_1.jpg,Single Family,Row / Townhouse,Freehold,Attached Garage,3,"SPECTACULAR CORNER UNIT TOWNHOME in family-friendly Huron Park. Beautifully maintained and cared for, this home is over 1500 sq ft of living space with 3 bedrooms + 1 bonus bedroom in the basement. This home has 2.5 baths including an ENSUITE BATHROOM from the primary bedroom, and a rough-in for a 3-piece bath in the basement. FEATURES and UPGRADES include modern, neutral and contemporary décor, A CARPET-FREE main floor, with upgraded laminate flooring, upgraded modern white kitchen with new hardware and stainless steel appliances, FRESHLY PAINTED with BRAND NEW BASEBOARDS THROUGHOUT THE ENTIRE HOUSE. Lots of natural light streaming in through the big windows. And last but not least, the EXPANSIVE backyard awaits for you to enjoy summer BBQs and lots of family fun, growing your own vegetable garden and has lots of space for the kids and fur babies to run around in. Neighbours only one 1 side. It's the perfect space to relax and recharge after a long day! The garage has an entrance to the basement which is a great feature for entry into an in-law suite in the future. Close to great schools, shopping, public transit, access to the 401 minutes away, the Huron Natural Area, walking and biking trails and so much more, this home is not to be missed! Enjoy the video, virtual tour, floor plans and photos on the link. https://unbranded.youriguide.com/2_featherstone_st_kitchener_on/ (63302750)"
105 Chalmers St S,,Cambridge,Ontario,N1R6A5,Canada,43.3495563,-80.296097,X5230638,499900,https://realtor.ca/real-estate/23190914/105-chalmers-st-s-cambridge,,3,2,2,,32.06 x 151.24 FT,,https://cdn.realtor.ca/listings/TS637564138886100000/reb86/highres/8/x5230638_1.jpg,Single Family,House,Freehold,,,"Welcome To 105 Chalmers! A Beautiful Semi-Detached Home Ready For You To Move Right Into, With In-Law Suite Potential. Large Windows Light Up The Freshly Painted Space With An Eat-In Kitchen & Comfortable Living Space. French Doors Take You Out To The Backyard And Large Pergola Covered Deck, Where You Can Enjoy 4 Seasons Of Activities With No Rear Neighbours. Head Upstairs Where  Bedrooms And A 4Pc Bathroom Await You For Sleeping And Remote Working. (28421552)"
35 Coral Crescent,,Kitchener,Ontario,N2M3H3,Canada,43.43501505,-80.49770249,40108559,499000,https://realtor.ca/real-estate/23190716/35-coral-crescent-kitchener,1107.0000,3 + 0,1,,,under 1/2 acre,62 ft,https://cdn.realtor.ca/listings/TS637564112526530000/reb16/highres/9/40108559_1.jpg,Single Family,House,Freehold,Carport,,"LARGE LOT IN MATURE NEIGHBOURHOOD. 35 Coral Crescent sits on a considerably sized piece of land that reaches well beyond the treeline at the mouth of a beautiful, child-safe court, boasting serious curb appeal with its newly cemented side walks and paved road. Walk up the newly paved driveway and see the sizeable front porch, perfect for a few chairs and a space to visit. Inside the home, a front hall closet for convenience, and a bright living area with large window and hardwood floors. Updated kitchen and dinette area lead seamlessly into a luscious backyard. Upstairs, three bedrooms with large windows, 4pc bathroom and linen closet for extra storage. A partially finished semi-basement offers an additional living area with ample natural light. (63299275)"
210 Winfield Avenue,,Waterloo,Ontario,N2J3M8,Canada,43.47859455,-80.51019292,40111116,549900,https://realtor.ca/real-estate/23190708/210-winfield-avenue-waterloo,,3 + 0,2,1,,under 1/2 acre,58 ft,https://cdn.realtor.ca/listings/TS637564112478830000/reb16/highres/6/40111116_1.jpg,Single Family,House,Freehold,Attached Garage,2,"Well maintained raised bungalow in the desirable neighborhood of Lincoln Heights. On the carpet free main floor you'll find plenty of light, a spacious family room, hardwood floor,  and kitchen with tons of cupboard space and great potential to open up and customize to your liking! There are also 3 good sized bedrooms and an updated bathroom with double sinks. With a separate side entrance to the basement, you will find a large finished room you can use as an extra bedroom or rec room and a 3piece bathroom. The large backyard is cozy and private and has a covered stone patio, partial fence and mature trees.  Roof (2016), furnace (2012), hot water tank (2012), wiring updated (2016) with new breaker panelMinutes from the highway, schools, universities, and shopping, shows well and perfect for investors, first time buyers or downsizers. (63301824)"
1 Victoria Street S,710,Kitchener,Ontario,N2G1G1,Canada,43.45241927,-80.4978748,40111961,425000,https://realtor.ca/real-estate/23190537/1-victoria-street-s-unit-710-kitchener,562.0000,1 + 0,1,1,0,0|under 1/2 acre,,https://cdn.realtor.ca/listings/TS637564094678300000/reb16/highres/1/40111961_1.jpg,Single Family,Apartment,Condominium,Underground,1,"Modern unit in the heart of downtown Kitchener. Just steps away from the LRT, GO Transit, Google, School of Pharmacy and Communitech. Bright with natural light, this one bedroom unit is well suited for working professionals. Stylish kitchen open layout to the living room area. Spacious bedroom with insuite laundry and covered balcony overlooking the city skyline and gardens. Excellent building amenities including a party room, theater, gym and community bbq patio. (63302498)"
260 Sheldon Avenue N,207,Kitchener,Ontario,N2H6P2,Canada,43.44487034,-80.46056241,40112498,375000,https://realtor.ca/real-estate/23190464/260-sheldon-avenue-n-unit-207-kitchener,,2 + 0,2,1,0,,,https://cdn.realtor.ca/listings/TS637564076468370000/reb16/highres/8/40112498_1.jpg,Single Family,Apartment,Condominium,Visitor Parking,1,"Welcome to Spruce Grove Unit 207. This well maintained 2 bedroom, 2 bathroom condo is sure to impress. When you walk through the door you are greeted with a well designed open concept layout which comprises of the kitchen, living and dining room. Walk-out from the living room to your private balcony the perfect spot for a morning cup of coffee. Finished with beautiful hardwood flooring throughout. Conveniently located on a mature tree lined cul-de-sac, a short distance to highways 7/8 and is walking distance to downtown, schools, shopping, Stanley Park Conservation area. This meticulously maintained complex offers all the amenities at an affordable price. Amenities include: an indoor swimming pool, sauna, games and party room, guest suite, fitness room and outdoor tennis court. Don't hesitate, contact your agent to book a showing! (63302962)"
1100 Courtland Ave E,405,Kitchener,Ontario,N2C2H9,Canada,43.4226427,-80.4617243,X5230243,374900,https://realtor.ca/real-estate/23190296/405-1100-courtland-ave-e-kitchener,,2,1,,,,,https://cdn.realtor.ca/listings/TS637564044303800000/reb82/highres/3/x5230243_1.jpg,Single Family,Apartment,Condominium/Strata,Visitor Parking,1,"Two Bedroom, One Bath Condo In A Convenient Location! Located Within Walking Distance To Public Transit, Parks, School, And Fairview Park Mall With Easy Access To Hwy 8 And Hwy 401. Courtland Terrace Features An Updated Lobby With Elevator Access, Modern Laundry Facilities, Inground Pool, Party Room With A Kitchen, And An Exercise Room With Sauna. The Perfect Starter Home, Ideal For First-Time Home Buyers, Investors And Downsizers Alike.**** EXTRAS **** A Spacious Living Room With Access To The Balcony Is Open To The Kitchen, Which Features Wood Cabinetry, Ample Counter Space And Tile Flooring. Down The Hall Are Two Bright Bedrooms And A 4 Piece Bath For Convenience And Comfort. (28420539)"
112 Benton St,111,Kitchener,Ontario,N2G3H6,Canada,43.4468173,-80.4906126,X5230437,599900,https://realtor.ca/real-estate/23190317/111-112-benton-st-kitchener,,2,2,,,,,https://cdn.realtor.ca/listings/TS637564044354000000/reb82/highres/7/x5230437_1.jpg,Single Family,Apartment,Condominium/Strata,Underground,2,"Welcome Home To Arrow Lofts. This Unique Building Features Industrial Architecture And Modern Sophistication. A Truly Rare Find Offering 1574 Sq/Ft Of Open Concept Living With 12Ft Ceiling Height, Exposed Original Columns And Ductwork And Floor To Ceiling Windows. You Will Love Gathering Around The Large Breakfast Bar In The Chef Inspired Bright White Kitchen Featuring Quartz Counters, Stainless Steel Appliances, Under-Mount Lighting And Modern Backsplash.**** EXTRAS **** Includes: Fridge, Stove, Dishwasher, Microwave, Washer, Dryer, All Window Coverings, Elfs And Garage Door Opener And Related Mailbox And Access Keys And Fobs. No Exclusions Or Rental Items. (28420754)"
150 Water St N,211,Cambridge,Ontario,N1R3B6,Canada,43.3658484,-80.3163926,X5230479,379900,https://realtor.ca/real-estate/23190319/211-150-water-st-n-cambridge,,1,1,,,,,https://cdn.realtor.ca/listings/TS637564044757400000/reb82/highres/9/x5230479_1.jpg,Single Family,Apartment,Condominium/Strata,Underground,1,"Modern One Bedroom Condo At The Grand With Grand River View, Laminate And Ceramic Tile Flooring, Open Concept Kitchen With Granite Countertops, Designated Underground Parking And Storage Locker, Controlled Entry, Fitness Centre, Party And Games Room. Grand River Trails At Your Doorstep And Walk To Quaint Shops, Restaurants, Cambridge Farmers' Market, Idea Exchange And The Hamilton Family Theatre. Close To Many Amenities In The Area. (28420798)"
105 Chalmers Street S,,Cambridge,Ontario,N1R6A5,Canada,43.3495555,-80.29608855,40112300,499900,https://realtor.ca/real-estate/23189861/105-chalmers-street-s-cambridge,,3 + 0,2,2,0,under 1/2 acre,32 ft,https://cdn.realtor.ca/listings/TS637564050409600000/reb15/highres/0/40112300_1.jpg,Single Family,House,Freehold,,,"Welcome to 105 Chalmers! A beautiful semi-detached home ready for you to move right into, with in-law suite potential. Large windows light up the freshly painted space with an eat-in kitchen & comfortable living space. French doors take you out to the backyard and large Pergola covered deck, where you can enjoy 4 seasons of activities with no rear neighbours. Head upstairs where 3 spacious bedrooms and a 4pc bathroom await you for sleeping and remote working quarters. Top it all off with a large finished basement (with separate entrance) featuring especially tall ceilings, to use as extra entertainment, storage, or bedroom space. Electrical panel updated in 2021... Book your showing today before it's gone! (63302161)"
340 Vanier Drive,,Kitchener,Ontario,N2C1J9,Canada,43.42315757,-80.4578039,40111675,524900,https://realtor.ca/real-estate/23189808/340-vanier-drive-kitchener,1049.0000,3 + 0,2,1,,under 1/2 acre,50 ft,https://cdn.realtor.ca/listings/TS637564016850300000/reb20/highres/5/40111675_1.jpg,Single Family,House,Freehold,,,"Well appointed 3 bedroom brick bungalow perfect for someone smart sizing or just starting out.  Very clean, neutrally decorated with a rec room and bar area in the lower level for additional room to space out - so needed when working from home or having to home school.  Large driveway for multiple vehicles and a fenced good size back yard to enjoy quality family time while being safely outside.  Located close to Expressway, Hwy 401, shopping (including Fairway Mall) and public transit.  Closing can be flexible if a quick close is needed.  Situated on a 50' lot in a great family neighborhood this gem is full of value! (63301483)"
198 Samuel Street,,Kitchener,Ontario,N2H1R3,Canada,43.44872674,-80.47524701,40105865,549000,https://realtor.ca/real-estate/23189812/198-samuel-street-kitchener,1367.0000,3 + 0,2,2,,under 1/2 acre,40 ft,https://cdn.realtor.ca/listings/TS637564016992100000/reb16/highres/5/40105865_1.jpg,Single Family,House,Freehold,Attached Garage,3,"This East Ward gem has gorgeous curb appeal and has been lovingly maintained by same owner for last 34 years!  Incredible bones here including updated roof, siding, eaves, furnace, AC, wiring and most windows.  Most of the expensive things are done making this the perfect home to add your personal touches to! Spacious main floor has large living and dining rooms with hardwood flooring.  Living room has crown moulding and south facing transom windows for lots of natural lighting.  The kitchen also features windows on two sides, a separate pantry, walk down to the backyard patio and incredible potential to open the wall up to the living room! Backyard is a private and maintenance free oasis with gorgeous flagstone patio. Its the perfect courtyard getaway!  The 3 bedrooms all have their own closets and double hung vinyl windows for easy cleaning.  Updated 4pc bath with tiled tub area.   Downstairs you will find the laundry room, a two-piece bathroom as well as a large workshop area.  The area at base of the stairs would make a perfect recroom by simply relocating laundry to the back. Large concrete block garage (207 by 116) makes an ideal workshop with hydro and newer insulated roll up door.  Convenient man door at side leads to back entryway of home. (63295677)"
45 St Clair Avenue,,Kitchener,Ontario,N2M3Z5,Canada,43.43708619,-80.4957143,40105072,449900,https://realtor.ca/real-estate/23189813/45-st-clair-avenue-kitchener,,3 + 0,1,2,1,under 1/2 acre,32 ft,https://cdn.realtor.ca/listings/TS637564016999070000/reb16/highres/2/40105072_1.jpg,Single Family,House,Freehold,,,"First time Home Buyers...Investors...this is a Price Point you don't want to let slip by!!!! Do you have a Handyman in the Family?...45 St. Clair is a Fabulous Semi-Detached, situated on a HUGE Property, this Three Bedroom, Two Story Diamond in the Rough....just needs a little tender loving care, the Possibilities are ENDLESS! Basement is Full height, and untouched for your designer dreams to be fulfilled..Four Piece Main floor Bathroom has be Updated. Windows 2009, Furnace 2017, Sump Pump 2016, Hot Water Heater 2016,Freshly Painted in Nice Neutral Shades. Close to ALL amenities....Downtown, Great Schools, Parks, and so much MORE!!!Backyard Has not Only an Oversized Shed, for all your outside storage...also a HUGE Workshop..that is calling... for you Tool Time Tim enthusiasts!!!There are so many possibilities here for...A POTENTIAL PALACE..book your showing today!!!Covid Protocols to be followed no children at showings (63294885)"
8 Locust Street,,Kitchener,Ontario,N2H1W7,Canada,43.45925783,-80.47960078,40100089,525000,https://realtor.ca/real-estate/23189811/8-locust-street-kitchener,1150.0000,2 + 0,2,1.5000,,0|under 1/2 acre,40 ft,https://cdn.realtor.ca/listings/TS637564016905570000/reb20/highres/9/40100089_1.jpg,Single Family,House,Freehold,Detached Garage,3,"Curb Appeal Alert! Simply put - this pretty home located in the highly sought after East Ward Neighbourhood is picture perfect! Located on a tree lined street w/ pretty homes and gardens, this home instantly charms you with the inviting wooden front door, warm wood floors and original trim. Cosy Living Room w/ Wood Burning Fireplace, Formal Dining Room w/ Character Windows, Crown Moulding (check out the original heat grates!) and updated Kitchen w/ White Cabinets (lots of pan drawers!) and Breakfast Bar. Upstairs you'll fine two generous Bedrooms w/ Dormer Windows, Closets and a 4 Pce Bathroom. The basement level is partially finished with Recreation Room, Cold Cellar and Utility Room w/ 2 Pce Bathroom and Laundry Area. Outside you'll find a Detached Garage w/ Loft, Driveway with Parking for 2 Cars and Private Back yard w/ Small Deck. Roof is approximately 5 years old, Gas F/A Furnace. Immediate Possession Available. Book your showing today! (63289900)"
4 Upper Canada Drive,,Kitchener,Ontario,N2P1E5,Canada,43.39734172,-80.44617122,40112211,575999,https://realtor.ca/real-estate/23189710/4-upper-canada-drive-kitchener,1135.0000,3 + 0,2,1,0,0.213 ac|under 1/2 acre,80 ft,https://cdn.realtor.ca/listings/TS637563759248830000/reb16/highres/1/40112211_1.jpg,Single Family,House,Freehold,Attached Garage,5,"Take in all that Doon has to offer at 4 Upper Canada Drive. This 3 bedroom detached home has had many updates in recent years. Boasting three spacious bedrooms on the main level and a large living room flowing off of the dining room. The sizeable lower level gives you additional living space and a bonus room with endless possibilities. The large corner lot has tons of room for activities and is an entertainers dream with a stunning covered hot tub and Sojag gazebo. Minutes from the 401 and Conestoga College, this home is close to the best amenities Kitchener has to offer. (63301921)"
155 Caroline Street,1706,Waterloo,Ontario,N2L0J8,Canada,43.458933,-80.519031,40112444,399900,https://realtor.ca/real-estate/23189677/155-caroline-street-unit-1706-waterloo,721.0000,1 + 0,1,1,0,,,https://cdn.realtor.ca/listings/TS637563715834730000/reb15/highres/4/40112444_1.jpg,Single Family,Apartment,Condominium,Underground,1,"Luxury condo living in the highly desirable Caroline Street Private Residences, enjoy the bright modern 1 bedroom + Den, 783 Sqft made up of 721 Sq Ft + 62 Sq Ft Balcony. Located on the 17th floor with great views, comes with 1 underground parking and a locker. Stunning Open Concept with 9 ft Ceilings, engineered hardwood, quartz counter top, and stainless steel appliances. Building amenities include concierge service, fitness center, rooftop terrace with BBQ, party room and guest suites. Just steps away from the new LRT line, Vincenzo's, Bauer Kitchen, cafes, and entertainment. Dont miss out! (63302121)"
15 Prince Albert Blvd,305,Kitchener,Ontario,N2H0C2,Canada,43.4617392,-80.4894171,X5229896,449900,https://realtor.ca/real-estate/23188742/305-15-prince-albert-blvd-kitchener,,2,2,,,,,https://cdn.realtor.ca/listings/TS637563531377700000/reb82/highres/6/x5229896_1.jpg,Single Family,Apartment,Condominium/Strata,Underground,1,"Attention First Time Home Buyers & Investors! Move-In Ready Spacious Two Bedroom Unit Features Laminate Flooring Throughout Suite Except For Bathrooms And Laundry. 9Ft Ceilings, Granite Countertops, Mosaic Backsplash, Undermount Sink And More! Centrally Located Between Downtown Kitchener And Uptown Waterloo. Minutes From The Highway, Go Station, Lrt, Waterloo/Laurier Universities, And Conestoga College. Make This Your Home Sweet Home!**** EXTRAS **** Washer/Dryer, All Appliances (Fridge, Stove, Dishwasher, Microwave) (28418638)"
420 Linden Dr,31,Cambridge,Ontario,N3H5L5,Canada,43.3985457,-80.3821753,X5230115,599999,https://realtor.ca/real-estate/23188770/31-420-linden-dr-cambridge,,3,3,3,,21.26 x 51.37 FT,,https://cdn.realtor.ca/listings/TS637563531455900000/reb82/highres/5/x5230115_1.jpg,Single Family,Row / Townhouse,Freehold,Garage,3,"Beautiful 3.5 Year Old Townhouse In Cambridge!!! Excellent Opportunity For First Time Buyers And Investors !!! No Side Walk (3 Parkings) !!! All Amenities Nearby !!! University Of Waterloo, University Of Laurier, Conestoga College, Public & Catholic Schools, Costco, Grocery And Shopping Nearby, Many Parks & Transportation Steps Away!!! One Light From Hwy 401..Cash+ Investment Can Get Rent Upto $2500 A Month , Wont Last Long Must See!**** EXTRAS **** S/S Refrigerator, S/S Stove, Dishwasher, Washer, Dryer, Central A/C , Rental Hot Water Tank. Potl Mo Fee:$134.00 A Month. (28418885)"
85 Spruce Street,111,Cambridge,Ontario,N1R4K4,Canada,43.36148642,-80.3060027,40112035,455000,https://realtor.ca/real-estate/23188823/85-spruce-street-unit-111-cambridge,1183.0000,1 + 0,2,1,0,,,https://cdn.realtor.ca/listings/TS637563535673800000/reb41/highres/5/40112035_1.jpg,Single Family,Apartment,Condominium,Underground,1,"Welcome home to 85 Spruce St. Unit 111, Cambridge. This conveniently located loft style condo is not just rich in history but also offers a modern design. Enjoy walks to the park down the road, visit the beautiful historic downtown Galt and take walks at the Grand River! Visit the Cambridge Farmers' Market, Idea Exchange, Cambridge Mill or local shops or restaurants just minutes away. This once textile factory which provided 4 million patches for the Royal Canadian Air Force in WW2 has now been tastefully redesigned as of 2009. Come home to soaring 15ft ceilings, large windows with tonnes of natural light and an open concept loft style living with 2 full bathrooms. Enjoy the benefit of street level access! Truly a one of a kind building enjoy 1 parking spot in the garage and 1 storage locker as well. (63300858)"
62 Queen Street W,,Cambridge,Ontario,N3C1G1,Canada,43.43005951,-80.31325719,40110662,549000,https://realtor.ca/real-estate/23187882/62-queen-street-w-cambridge,1250.0000,2 + 0,1,2,0,under 1/2 acre,44 ft,https://cdn.realtor.ca/listings/TS637563483489800000/reb17/highres/2/40110662_1.jpg,Single Family,House,Freehold,,,"DUPLEX up and down. 2 one bedroom apartments, currently both with very good tenants. Upper unit has a newly updated kitchen and bathroom and new flooring throughout. Lower unit has had bathroom replaced it is very spacious. Both units have laundry. Separate Hydro meters. Close to 401 and bus routes .Lots of parking. Call to view today REALTOR®:Please allow 48 hrs for all offers and schedule b. Both tenants want to stay. Currently lower unit pays 1140 inclusive. Upper unit is owner occupied. . Upper unit pays the utilities and looks after landscaping. Easy to show. Directions:Hwy 24 to Queen Cross St:Harvey (63298544)"
111 112 Benton Street,,Kitchener,Ontario,N2G3H6,Canada,43.446624,-80.490728,H4106475,599900,https://realtor.ca/real-estate/23186935/111-112-benton-street-kitchener,1574 sqft,2,2,1,,0 x 0,,https://cdn.realtor.ca/listings/TS637563425486730000/reb14/highres/5/h4106475_1.jpg,Single Family,Apartment,Condominium,Shared,2,"Welcome home to Arrow Lofts. This unique building features industrial architecture and modern sophistication. A truly rare find offering 1574 sq/ft of open concept living with 12ft ceiling height, exposed original columns and ductwork and floor to ceiling windows. You will love gathering around the large breakfast bar in the chef inspired bright white kitchen featuring quartz counters, stainless steel appliances, under-mount lighting and modern backsplash. This spacious unit features 2 bedrooms and 2 full bathrooms, separate dining room plus a raised mezzanine with sliding glass doors that may be used as a den or third bedroom if needed. Under this space you will find plenty of additional storage as well. The Arrow Lofts offer some of the most extensive Condo amenities around - featuring a huge indoor lounge, wi-fi access throughout the common areas, conference rooms, theatre room, large exercise room, sauna, roof top patio with beautiful views and plenty of outdoor seating, fireplace, shared BBQs, and so much more. This unit has two underground parking spaces, one is owed and second is reserved and may be purchased by new owner. Located just steps from the new LRT, downtown shopping, Victoria Park, the Iron Horse Trail, the Kitchener Market, the Museum, restaurants and night life. This one of a kind loft in the heart of DTK won't last long so book your private showing today! (27293410)"
